"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D4WT57_PEA","A0A9D4WT57",0.86589996092603,0.683421027693908,0.442695166998902,0.996,0.831,0.668,FALSE,FALSE,FALSE,FALSE,-0.192,-0.467,-0.796,0.524,0.332,0.0576,-0.739
"A0A9D4WT59_PEA","A0A9D4WT59",0.649656496760221,0.800228285740187,0.0566928139630461,0.996,0.9,0.178,FALSE,FALSE,FALSE,FALSE,-0.0935,0.0518,0.393,-0.11,-0.203,-0.058,0.335
"A0A9D4WT62_PEA","A0A9D4WT62",0.737272480842848,0.210282133103719,0.427237364975772,0.996,0.401,0.654,FALSE,FALSE,FALSE,FALSE,-0.393,-1.54,-0.846,1.18,0.784,-0.361,-1.21
"A0A9D4WT78_PEA","A0A9D4WT78",0.635108335394413,0.772652260951589,0.980886977034737,0.996,0.886,0.991,FALSE,FALSE,FALSE,FALSE,-0.557,-0.337,-0.025,0.343,-0.214,0.00527,-0.0197
"A0A9D4WT81_PEA","A0A9D4WT81",0.917738792183249,0.418027174597003,0.760690930052818,0.996,0.622,0.878,FALSE,FALSE,FALSE,FALSE,-0.0732,-0.586,0.194,0.287,0.214,-0.299,-0.106
"A0A9D4WT81_PEA.1","A0A9D4WT81",0.993628958785748,0.537536157542295,0.623158756316696,0.998,0.728,0.797,FALSE,FALSE,FALSE,FALSE,0.0148,1.15,-0.818,-0.41,-0.395,0.743,-0.0751
"A0A9D4WTA2_PEA","A0A9D4WTA2",0.639003397872366,0.145623066556619,0.361601668351287,0.996,0.313,0.599,FALSE,FALSE,FALSE,FALSE,0.693,2.29,-1.23,-1.1,-0.408,1.19,-0.0438
"A0A9D4WTA4_PEA","A0A9D4WTA4",0.495189318429273,0.0153759555663742,0.966547271336545,0.96,0.0589,0.985,FALSE,FALSE,FALSE,FALSE,0.246,-1.05,-0.0133,0.508,0.753,-0.539,-0.553
"A0A9D4WTB2_PEA","A0A9D4WTB2",0.333896718763876,0.425976862505744,0.758844462904763,0.901,0.629,0.877,FALSE,FALSE,FALSE,FALSE,1.56,1.27,-0.431,-1,0.557,0.271,-0.161
"A0A9D4WTB6_PEA","A0A9D4WTB6",0.928058012253475,0.923273226602092,0.625940170931665,0.996,0.962,0.799,FALSE,FALSE,FALSE,FALSE,-0.0928,0.099,0.451,-0.152,-0.245,-0.0528,0.398
