"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WNI8_PEA",21.5530507911662,20.8867836160398,20.7875176103795,21.5795817427349,20.7875176103795,20.7878521721115,21.7721995115158,22.0358308711576,19.5896155565926,19.7528487282253,19.7458394074392
"A0A9D4WNN6_PEA.1",17.7254229298967,16.8237905121488,18.0720379790544,18.2505579550733,18.0720429493494,18.1867628133766,18.0904462186398,17.8466422336219,18.4644284124097,18.1662561959472,18.2911295058955
"A0A9D4WNR7_PEA",19.6659298424107,19.8728725695128,18.9930569830628,19.38572578947,18.9930569830628,19.1170647227768,19.5672152829887,19.6648918034831,18.7607209172767,18.4619046096569,18.3692393725548
"A0A9D4WNU8_PEA",21.6913737344161,21.1863393615485,22.0254261954233,21.9543740488546,22.0254261954233,22.3547268089172,21.7234523125275,22.2650920228539,22.4613437811253,22.3673011582914,22.4923947785197
"A0A9D4WNV3_PEA",20.4259853116194,20.6273085670586,20.8412058196239,20.7660808773415,20.8412058196239,20.8730993394783,20.7589794409227,20.606740198291,21.3309169688823,21.3157782725607,21.4217440805288
"A0A9D4WP16_PEA",19.6350345793325,19.756694934999,20.2630949260048,20.1462383403919,20.2630949260048,20.0079336533639,19.5752508668305,19.5037309571393,20.7430927912915,20.5490192763969,20.6587120906315
"A0A9D4WP22_PEA",23.2477842059846,23.1134466853661,23.8871668975244,23.2692442914876,23.8871668975244,23.2313204971104,23.446850174382,22.9395930122294,20.8859137043702,21.0410798556349,21.1111112490955
"A0A9D4WP43_PEA.1",15.7410895326736,19.005853606527,19.5740414127917,18.8713994556825,20.6364960390259,21.2495934320837,18.9972519396445,19.6238923763921,20.9680466777758,21.0972981699122,21.2422026022455
"A0A9D4WP58_PEA",18.9915627656693,18.9118585276447,18.1967500773899,18.8730412067278,18.1967616739868,18.8746564049533,19.0747779901713,18.9957232309091,15.842282632224,16.0870359820101,16.0204730457669
"A0A9D4WP68_PEA",23.3119881769441,22.8961199821624,23.3605454445395,23.4086197644803,23.3605454445395,23.3362302276826,22.8735271772198,23.3594893978379,24.1104338536977,24.0133766960775,24.0280574362821
"A0A9D4WP75_PEA",19.4030313671218,18.8702524609594,23.0412212131686,18.721671706536,20.9295695635638,20.4391425013358,18.5400725791781,18.9211903939057,17.4279280739666,20.1533913559123,17.9811654983432
"A0A9D4WP78_PEA",20.7312893158039,21.1330036904422,21.9528651120001,21.0363763684219,21.9528651120001,21.8981553257705,20.9794889765564,20.9850783979594,22.2206409159657,22.2003102666844,22.1945685941754
"A0A9D4WPF9_PEA",19.8627862986327,19.730528244818,16.4224722468667,19.4945369888317,16.4224722468667,16.7902448949547,19.8950597769002,19.3249157160318,17.3964098949103,16.3227787892876,16.664583993768
"A0A9D4WPG7_PEA",18.5437442437997,18.4119400318482,20.962043386305,18.1270525851127,20.962043386305,19.774268293491,17.8542677886754,18.3923869988635,18.0202769490854,18.3839616393421,18.3990679875371
"A0A9D4WPI3_PEA",18.9432323263094,18.4977904033683,18.1701370000812,18.6226685743352,18.1701370000812,18.6289900499866,18.3645344255685,18.2906114149127,17.9281722354015,17.2276000023609,17.1139491180941
"A0A9D4WPI8_PEA",19.1232358631009,19.2525107592922,19.463541084263,19.0857572515627,19.463541084263,19.7417307221631,19.0923250911938,19.2372410771238,20.6845883522513,20.599717068212,20.2667842476592
"A0A9D4WPK6_PEA",20.836541758662,20.9404276722359,18.7415589743694,20.7260531035943,18.7415589743694,19.2157694593161,20.0993715164036,19.8716975075236,18.7232869445639,18.8634847334967,19.1304582802489
"A0A9D4WPM1_PEA",20.8020683099715,20.7842139588007,21.7137233206761,21.1680842231462,21.7137233206761,21.7156904488929,21.0777325038976,21.2135170602591,21.2384737460219,21.5944630190122,21.7249888798696
"A0A9D4WPQ8_PEA",19.2747221246838,19.4698020429202,20.145589477596,19.5117118757427,20.145589477596,20.118925643822,19.328997398475,19.9408924336651,20.4625423414666,20.5052369645778,20.7036374098463
"A0A9D4WPU8_PEA",22.6564433399357,22.3226506091887,20.4036550389474,22.3335933607512,20.4036550389474,20.9372916865219,21.7787504286385,22.0941406893404,20.2691246376188,20.5219833426227,20.6878574193055
"A0A9D4WPW5_PEA.1",17.07162531886,18.8616035016284,19.2595008213927,18.5491326300332,19.2595008213927,19.4127554540278,18.1646304257342,19.040156168787,17.5307048069475,13.7003118813794,16.6526166704418
"A0A9D4WPZ8_PEA",19.211492540019,20.0109904882429,18.8404531524907,19.1208415469112,18.8404531524907,19.0314132149304,19.523992483028,19.5432753833851,18.6751869880091,18.7306649108931,18.7353235530444
"A0A9D4WQ08_PEA",20.1839511827674,20.1589416380788,21.4299542593478,20.6757637622782,21.4299542593478,21.1241841029192,20.5628025133695,20.5735447373986,21.1832436091627,21.691032576756,21.6749028301998
"A0A9D4WQ12_PEA",19.5067252006251,19.5454938989161,18.5412376675023,19.4535866396553,18.5412376675023,18.5844655803967,19.2783114526787,19.2842078224866,18.2683304350181,17.6003236356932,17.9322307147474
"A0A9D4WQ37_PEA",24.7039548205553,24.9177301292813,24.6323693044554,24.9400824442586,24.6323693044554,24.8477435585204,25.2207253391262,24.8401763680583,22.2666364119323,21.6856183455711,23.8657281315918
"A0A9D4WQF6_PEA",15.1067041708287,13.5627462084876,18.9282475550776,17.6764877707501,18.9282475550776,18.4521217058394,18.3491601416092,18.3204301814119,17.5491830946771,17.840730426189,18.154273091555
"A0A9D4WQH7_PEA",17.4562128570019,18.3941330290054,18.2492940166617,18.1988671002426,18.2493099935839,17.5460262025709,18.1349371336529,18.1233163209477,19.3901805825152,19.0001177533997,18.8314971812096
"A0A9D4WQI8_PEA",19.5650018749829,19.8333666791368,20.9180667366109,19.9329428363763,20.9180667366109,20.7835247175629,20.0454790833072,19.9920122080814,20.9263724759781,20.9749927546045,20.9631317244079
"A0A9D4WQN5_PEA",18.9719354829188,18.8729487836234,19.9846350178606,19.0903683473095,19.9846350178606,19.7023020378474,19.3417071881326,19.2094661822822,16.3008741297849,16.6842754073943,16.8734469580781
"A0A9D4WQP2_PEA",18.726069620549,19.1675897709616,19.6494573494911,18.8433515200526,19.6494573494911,19.9160236541941,18.1542345578015,18.834206269831,19.9215808820054,20.0344666495007,20.2076197545907
"A0A9D4WQQ7_PEA",19.0733805882634,19.8131271826153,21.2696719158113,19.9038303198247,21.2696719158113,20.9526095991086,19.8373617383662,19.8670422937867,20.8805392337199,21.2935323722719,21.1767327883784
