"name","ID","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio"
"A0A9D4X7D0_PEA","A0A9D4X7D0",3.63327264510579e-05,0.00124,TRUE,-2.64
"A0A9D4X7G4_PEA","A0A9D4X7G4",0.0006682282605281,0.00749,TRUE,1.73
"A0A9D4X7K4_PEA","A0A9D4X7K4",0.000660024691907022,0.00743,TRUE,0.845
"A0A9D4X7K7_PEA","A0A9D4X7K7",0.00375510337375835,0.0251,TRUE,-1.13
"A0A9D4X7L2_PEA","A0A9D4X7L2",3.81663328428552e-06,0.000322,TRUE,1.89
"A0A9D4X7M1_PEA","A0A9D4X7M1",3.96219210707094e-05,0.00133,TRUE,1.94
"A0A9D4X7S7_PEA","A0A9D4X7S7",3.56162063996915e-05,0.00123,TRUE,-1.43
"A0A9D4X7T7_PEA","A0A9D4X7T7",4.20278704718992e-06,0.000338,TRUE,1.89
"A0A9D4X7V9_PEA","A0A9D4X7V9",0.00275014326431829,0.02,TRUE,-1.14
"A0A9D4X7Z3_PEA","A0A9D4X7Z3",0.000995369449779333,0.00978,TRUE,1.51
"A0A9D4X830_PEA","A0A9D4X830",0.00644108287697182,0.0367,TRUE,1.01
"A0A9D4X836_PEA","A0A9D4X836",0.00298578391450558,0.0213,TRUE,-0.778
"A0A9D4X888_PEA","A0A9D4X888",9.25853439959316e-05,0.00229,TRUE,-0.996
"A0A9D4X8A3_PEA","A0A9D4X8A3",0.00867964484912698,0.0451,TRUE,-0.621
"A0A9D4X8E5_PEA","A0A9D4X8E5",0.00754183228264672,0.0408,TRUE,1.03
"A0A9D4X8H0_PEA","A0A9D4X6N9",0.00115861040483177,0.0109,TRUE,-0.77
"A0A9D4X8I6_PEA","A0A9D4X8I6",0.00214849505273039,0.0168,TRUE,0.978
"A0A9D4X8J2_PEA","A0A9D4X8J2",0.000578535070100349,0.00682,TRUE,1.73
"A0A9D4X8S0_PEA","A0A9D4X8S0",1.34780152726447e-05,0.000675,TRUE,-1.33
"A0A9D4X8V8_PEA","A0A9D4X8V8",3.93868807233116e-05,0.00133,TRUE,-1.95
"A0A9D4X8X3_PEA","A0A9D4X8X3",0.000257265778266424,0.0041,TRUE,1.36
"A0A9D4X8Y2_PEA","A0A9D4X8Y2",0.000942446849954859,0.00945,TRUE,0.869
"A0A9D4X941_PEA","A0A9D4X941",0.000699030802662822,0.00772,TRUE,-0.957
"A0A9D4X951_PEA","A0A9D4X951",0.000105655455113098,0.00247,TRUE,2.19
"A0A9D4X958_PEA","A0A9D4X958",0.00185290031927724,0.0151,TRUE,1.45
"A0A9D4X9B6_PEA","A0A9D4X9B6",0.000175021475725827,0.00323,TRUE,-1.53
"A0A9D4X9E0_PEA","A0A9D4VYY9",0.000467204645604313,0.00598,TRUE,1.22
"A0A9D4X9E1_PEA","A0A9D4X9E1",0.00028639996722142,0.00436,TRUE,1.22
"A0A9D4X9G4_PEA","A0A9D4X9G4",0.000943856444389722,0.00945,TRUE,0.961
"A0A9D4X9H4_PEA","A0A9D4X9H4",0.00147828952657363,0.0129,TRUE,0.845
"A0A9D4X9J8_PEA","A0A9D4X9J8",2.17984208789918e-06,0.000233,TRUE,-1.59
"A0A9D4XA28_PEA","A0A9D4X7D4",2.39866450826071e-05,0.000974,TRUE,-1.93
"A0A9D4XA52_PEA","A0A9D4XA52",0.000833938377366824,0.00866,TRUE,5.45
"A0A9D4XA83_PEA","A0A9D4X8X2",2.20739501009478e-07,7.55e-05,TRUE,3.18
"A0A9D4XAA9_PEA","A0A9D4YFM6",0.000359281315842266,0.00509,TRUE,1.97
"A0A9D4XAI7_PEA","A0A9D4XAI7",0.00720639130598336,0.0395,TRUE,0.652
"A0A9D4XAT3_PEA","A0A9D4XAT3",0.00488218134988112,0.0302,TRUE,-0.705
"A0A9D4XAV4_PEA","A0A9D4XAV4",0.00499479715507085,0.0307,TRUE,1.25
"A0A9D4XAW5_PEA","A0A9D4XAW5",0.00165025490246042,0.0139,TRUE,0.763
"A0A9D4XAZ1_PEA","A0A9D4XAZ1",0.00120097998658625,0.0112,TRUE,1.21
"A0A9D4XB92_PEA","A0A9D4XB92",0.00825662605662904,0.0436,TRUE,1.31
"A0A9D4XBG2_PEA","A0A9D4XBG2",0.00532186954304127,0.0321,TRUE,-0.643
"A0A9D4XBU1_PEA","A0A9D4XBU1",0.00102581764677412,0.01,TRUE,1.16
"A0A9D4XC21_PEA","A0A9D4XC21",2.4439879564853e-05,0.000982,TRUE,-1.38
"A0A9D4XC55_PEA","A0A9D4XC55",0.000555742531273658,0.00664,TRUE,-0.849
"A0A9D4XC76_PEA","A0A9D4XC76",0.000128717079635314,0.00277,TRUE,1.83
"A0A9D4XC80_PEA.1","A0A9D4Y0E0",0.00993568095142566,0.0497,TRUE,-2.39
"A0A9D4XCQ5_PEA","A0A9D4XCQ5",0.000219638635421317,0.00372,TRUE,-1.11
"A0A9D4XD10_PEA","A0A9D4XD10",1.68016234760401e-06,0.000199,TRUE,3.61
"A0A9D4XD37_PEA","A0A9D4XD37",0.00640162748730917,0.0366,TRUE,0.897
"A0A9D4XDB4_PEA","A0A9D4XDB4",0.000809445146267031,0.0085,TRUE,2.37
"A0A9D4XDE3_PEA","A0A9D4YL35",0.00726531293028573,0.0396,TRUE,-0.638
"A0A9D4XDQ7_PEA","A0A9D4XDQ7",0.000799902769369656,0.00846,TRUE,-2.38
"A0A9D4XDT3_PEA","A0A9D4XDT3",0.00453194068482334,0.0288,TRUE,-0.994
"A0A9D4XDW3_PEA","A0A9D4XDW3",0.00714404859640926,0.0392,TRUE,-1.39
"A0A9D4XE19_PEA","A0A9D4XE19",0.000114636765412771,0.00257,TRUE,-0.966
"A0A9D4XE58_PEA","A0A9D4XE58",0.00145729172598431,0.0127,TRUE,0.737
"A0A9D4XEA3_PEA","A0A9D4XEA3",0.00583155974463648,0.0344,TRUE,1.11
"A0A9D4XED1_PEA","A0A9D4XED1",2.93630766565086e-05,0.00111,TRUE,-1.39
"A0A9D4XEF8_PEA","A0A9D4XEF8",0.000513136935579274,0.00625,TRUE,-0.87
"A0A9D4XEI3_PEA","A0A9D4XEI3",1.59712303842945e-05,0.000756,TRUE,1.88
"A0A9D4XEW3_PEA","A0A9D4XEW3",0.000163657932194584,0.00315,TRUE,1.89
"A0A9D4XEX7_PEA","A0A9D4XEX7",0.000694609223626482,0.00771,TRUE,-0.756
"A0A9D4XEY5_PEA","A0A9D4XEY5",0.00444151650796297,0.0283,TRUE,0.94
"A0A9D4XF23_PEA","A0A9D4XF23",0.00741513139200315,0.0403,TRUE,0.671
"A0A9D4XF67_PEA","A0A9D5H0L2",0.00797239198156495,0.0424,TRUE,-1.26
"A0A9D4XFA7_PEA","A0A9D4XFA7",0.00321132133103672,0.0225,TRUE,-0.592
"A0A9D4XFX6_PEA","A0A9D4XFX6",0.000220877232177511,0.00372,TRUE,1.49
"A0A9D4XFY1_PEA","A0A9D4XFY1",0.00579424296886004,0.0343,TRUE,1.27
"A0A9D4XFZ5_PEA","A0A9D4XFZ5",0.00142019453677526,0.0125,TRUE,-1.05
"A0A9D4XG44_PEA","A0A9D4XG44",0.00229372785563219,0.0175,TRUE,1.15
"A0A9D4XGB9_PEA.1","A0A9D4XGB9",0.00688142543357783,0.0383,TRUE,1.84
"A0A9D4XGK5_PEA","A0A9D4XGK5",0.00606028044746191,0.0353,TRUE,-0.689
"A0A9D4XGM3_PEA","A0A9D4XGM3",0.00114302003499736,0.0108,TRUE,1.01
"A0A9D4XGP5_PEA","A0A9D4XGP5",4.96964817952712e-07,0.000115,TRUE,-4.12
"A0A9D4XGW0_PEA","A0A9D4XGW0",0.000784037327236545,0.00836,TRUE,-0.791
"A0A9D4XH58_PEA.1","A0A9D4XH58",0.00013546273809847,0.00285,TRUE,2.06
"A0A9D4XHF5_PEA","A0A9D4XHF5",0.000260674653066497,0.00413,TRUE,1.24
"A0A9D4XHM3_PEA","A0A9D4XHM3",0.00413439890514451,0.0269,TRUE,-0.896
"A0A9D4XHV1_PEA","A0A9D4XHV1",0.00890080291464894,0.0457,TRUE,-0.858
"A0A9D4XHW4_PEA","A0A9D4XHW4",7.27585398299707e-08,4.86e-05,TRUE,4.4
"A0A9D4XI00_PEA","A0A9D4XI00",4.56920829010926e-05,0.00146,TRUE,-1.34
"A0A9D4XI03_PEA","A0A9D4XI03",0.000896017358834033,0.00916,TRUE,1.05
"A0A9D4XIB7_PEA","A0A9D4XIB7",0.00486806533489819,0.0302,TRUE,4.01
"A0A9D4XIC9_PEA","A0A9D4XIC9",1.40740484444579e-08,1.55e-05,TRUE,-4.55
"A0A9D4XIE0_PEA","A0A9D4XIE0",1.64770049626318e-05,0.000775,TRUE,2.64
"A0A9D4XIF3_PEA","A0A9D4XIF3",0.00236949170680266,0.018,TRUE,1.42
"A0A9D4XIP4_PEA","A0A9D4XIP4",0.00224279659897849,0.0173,TRUE,-1.04
"A0A9D4XIS5_PEA","A0A9D4XIS5",0.00399867185948357,0.0262,TRUE,0.806
"A0A9D4XIV2_PEA","A0A9D4XIV2",0.0061274679158433,0.0356,TRUE,1.12
"A0A9D4XJE9_PEA","A0A9D4X4R3",0.000817737447380107,0.00854,TRUE,1.17
"A0A9D4XJF3_PEA","A0A9D4XJF3",0.0032992561561057,0.0229,TRUE,-0.728
"A0A9D4XJG1_PEA","A0A9D4XJG1",0.000305692913189198,0.00456,TRUE,1.18
"A0A9D4XJL4_PEA","A0A9D4XJL4",0.00378673842347314,0.0252,TRUE,1.22
"A0A9D4XJW1_PEA","A0A9D4XJW1",0.00122631590719259,0.0113,TRUE,1.12
"A0A9D4XJW4_PEA","A0A9D4XJW4",3.44341726252163e-06,0.000313,TRUE,2.97
"A0A9D4XK93_PEA","A0A9D4XK93",0.000103973045211332,0.00245,TRUE,1.34
