"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D5BCG0_PEA","A0A9D5BCG0",0.0350446936365884,0.169863770185539,0.198135878859524,0.556,0.347,0.416,FALSE,FALSE,FALSE,FALSE,3.04,1.82,-1.51,-1.41,1.63,0.409,-1.1
"A0A9D5BCG8_PEA","A0A9D5BCG8",0.895248875038208,0.0796329610884675,0.762360240542419,0.996,0.204,0.879,FALSE,FALSE,FALSE,FALSE,-0.14,2.05,-0.287,-1,-1.14,1.05,0.762
"A0A9D5BCH1_PEA","A0A9D5BCH1",0.214031318086625,0.956671977945675,0.291674628779493,0.834,0.98,0.529,FALSE,FALSE,FALSE,FALSE,-1.09,-0.0455,-0.819,0.547,-0.548,0.501,-0.318
"A0A9D5BCH6_PEA.1","A0A9D4VV11",0.0618119195335823,0.0569993179624234,0.940705916784451,0.632,0.159,0.973,FALSE,FALSE,FALSE,FALSE,1.93,1.98,0.0613,-1.62,0.309,0.355,0.416
"A0A9D5BCM1_PEA","A0A9D5BCM1",0.100243478040177,0.116987772300674,0.159570519386547,0.71,0.268,0.361,FALSE,FALSE,FALSE,FALSE,2.04,1.93,-1.52,-1.19,0.847,0.736,-0.788
"A0A9D5BCW6_PEA","A0A9D5BCW6",0.609207637678334,0.520566011000084,0.50190425390121,0.993,0.713,0.716,FALSE,FALSE,FALSE,FALSE,-0.925,-1.17,-1.09,1.19,0.263,0.0195,-1.07
"A0A9D5BCX2_PEA","A0A9D5BCX2",0.818414658215817,0.274318717285524,0.618129200522808,0.996,0.476,0.794,FALSE,FALSE,FALSE,FALSE,-0.34,-1.68,0.664,0.827,0.487,-0.851,-0.187
"A0A9D5BCX2_PEA.1","A0A9D5BCG6",0.413804254660447,0.65135755760117,0.24690610714339,0.929,0.812,0.479,FALSE,FALSE,FALSE,FALSE,1.22,0.663,1.58,-1.12,0.0935,-0.46,1.12
"A0A9D5BCZ6_PEA","A0A9D5BCZ6",0.688850960484031,0.337537103896692,0.399933587619382,0.996,0.545,0.631,FALSE,FALSE,FALSE,FALSE,0.103,0.253,0.197,-0.22,-0.117,0.033,0.23
"A0A9D5BCZ7_PEA","A0A9D5BCZ7",0.120178089471872,0.303057146404197,0.565093754146677,0.738,0.507,0.761,FALSE,FALSE,FALSE,FALSE,2.36,1.5,0.731,-1.66,0.702,-0.163,0.568
