"name","ID","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio"
"A0A9D4X6H8_PEA","A0A9D4X6H8",9.58028378743135e-06,0.000349,TRUE,-3.37
"A0A9D4X6I8_PEA","A0A9D4X6I8",0.00104686936757306,0.00726,TRUE,0.894
"A0A9D4X6M2_PEA","A0A9D4X6M2",0.000499672841039018,0.0042,TRUE,1.58
"A0A9D4X6Q5_PEA","A0A9D4X6Q5",9.45843707022556e-05,0.00132,TRUE,-1.74
"A0A9D4X6T0_PEA","A0A9D4X6T0",0.00262610191492257,0.0148,TRUE,-1.64
"A0A9D4X6T3_PEA","A0A9D4X6T3",0.00769229788498671,0.0345,TRUE,0.791
"A0A9D4X6Y8_PEA","A0A9D4X6Y8",6.58104202805435e-05,0.00104,TRUE,1.8
"A0A9D4X6Z4_PEA","A0A9D4X6Z4",0.000315665081916385,0.003,TRUE,-1.81
"A0A9D4X730_PEA","A0A9D4X730",2.8504069481301e-05,0.000616,TRUE,2.33
"A0A9D4X742_PEA","A0A9D4X742",9.09893248529901e-06,0.000336,TRUE,-3.16
"A0A9D4X777_PEA","A0A9D4X777",0.00552137343803863,0.0266,TRUE,1.01
"A0A9D4X795_PEA","A0A9D4X6U4",0.00029131836508091,0.00285,TRUE,-1.94
"A0A9D4X7B4_PEA","A0A9D4X7B4",4.42919355658454e-05,0.000822,TRUE,2.24
"A0A9D4X7C6_PEA","A0A9D4X7C6",0.000222516144531345,0.00236,TRUE,1.35
"A0A9D4X7D0_PEA","A0A9D4X7D0",0.00350514875562381,0.0185,TRUE,1.49
"A0A9D4X7F9_PEA","A0A9D4X7F9",0.00854002393745552,0.0374,TRUE,-0.802
"A0A9D4X7G4_PEA","A0A9D4X7G4",3.32887107645465e-05,0.000674,TRUE,-2.95
"A0A9D4X7H9_PEA","A0A9D4X7H9",0.000432150037416928,0.00377,TRUE,-1.51
"A0A9D4X7K4_PEA","A0A9D4X7K4",0.00104565667818186,0.00726,TRUE,-0.88
"A0A9D4X7K7_PEA","A0A9D4X7K7",0.00647448511958436,0.03,TRUE,1.15
"A0A9D4X7L2_PEA","A0A9D4X7L2",6.28715416394003e-07,8.09e-05,TRUE,-2.66
"A0A9D4X7M1_PEA","A0A9D4X7M1",0.000178494245992933,0.00204,TRUE,-1.76
"A0A9D4X7S7_PEA","A0A9D4X7S7",0.000770030556358601,0.00581,TRUE,1.03
"A0A9D4X7T0_PEA","A0A9D4X7T0",0.0103984342600442,0.0433,TRUE,1.12
"A0A9D4X7T7_PEA","A0A9D4X7T7",2.73934886630376e-05,0.000602,TRUE,-1.65
"A0A9D4X7X2_PEA","A0A9D4X7X2",0.0036733226680973,0.0193,TRUE,1.21
"A0A9D4X830_PEA","A0A9D4X830",0.00249477755745279,0.0143,TRUE,-1.33
"A0A9D4X8A3_PEA","A0A9D4X8A3",0.00936626317518723,0.04,TRUE,0.684
"A0A9D4X8H2_PEA","A0A9D4X8H2",0.00130709286999198,0.00858,TRUE,1.22
"A0A9D4X8I6_PEA","A0A9D4X8I6",4.6182606594604e-05,0.000836,TRUE,-1.93
"A0A9D4X8K8_PEA","A0A9D4X8K8",0.0103828125607255,0.0433,TRUE,0.731
"A0A9D4X8M3_PEA","A0A9D4X8M3",0.00741985724752934,0.0335,TRUE,1.07
"A0A9D4X8S0_PEA","A0A9D4X8S0",6.73940195379086e-06,0.000265,TRUE,1.63
"A0A9D4X8V5_PEA","A0A9D4X8V5",0.00401285475163957,0.0207,TRUE,0.814
"A0A9D4X8Y2_PEA","A0A9D4X8Y2",0.00592287339672746,0.0281,TRUE,-0.713
"A0A9D4X941_PEA","A0A9D4X941",0.000254325252930908,0.00259,TRUE,1.24
"A0A9D4X958_PEA","A0A9D4X958",0.00288966316007184,0.0158,TRUE,-1.51
"A0A9D4X974_PEA","A0A9D4X974",0.0029759213494969,0.0162,TRUE,1.07
"A0A9D4X9B6_PEA","A0A9D4X9B6",1.27749199271282e-05,0.00039,TRUE,2.45
"A0A9D4X9E0_PEA","A0A9D4VYY9",3.50718405666225e-05,0.000703,TRUE,-1.96
"A0A9D4X9E1_PEA","A0A9D4X9E1",0.000181287040549403,0.00206,TRUE,-1.46
"A0A9D4X9E9_PEA","A0A9D4X9E9",0.00191398265762744,0.0116,TRUE,1.3
"A0A9D4X9G4_PEA","A0A9D4X9G4",0.0010897237195953,0.00747,TRUE,-1.05
"A0A9D4X9G9_PEA","A0A9D4X9G9",0.00282941996753185,0.0156,TRUE,3.21
"A0A9D4X9H4_PEA","A0A9D4X9H4",0.0008500762987333,0.00622,TRUE,-1.03
"A0A9D4X9J8_PEA","A0A9D4X9J8",4.4738790858727e-06,0.000203,TRUE,1.62
"A0A9D4X9L1_PEA","A0A9D4X9L1",4.71573648822869e-05,0.000848,TRUE,-2.32
"A0A9D4XA05_PEA","A0A9D4XA05",0.000910258184885944,0.00653,TRUE,1.08
"A0A9D4XA28_PEA","A0A9D4X7D4",1.58543916253965e-05,0.000433,TRUE,2.27
"A0A9D4XA83_PEA","A0A9D4X8X2",1.70788436232027e-05,0.000459,TRUE,-2.04
"A0A9D4XAA1_PEA","A0A9D4XAA1",0.00336971731618569,0.0179,TRUE,-2.46
"A0A9D4XAI7_PEA","A0A9D4XAI7",3.29965151999556e-07,6.53e-05,TRUE,-3.01
"A0A9D4XAN7_PEA","A0A9D4XAN7",4.41768164368306e-05,0.000822,TRUE,-1.74
"A0A9D4XAP0_PEA","A0A9D4XAP0",0.0012633851534038,0.00835,TRUE,-1.63
"A0A9D4XAP6_PEA","A0A9D4XAF3",0.00633705479001015,0.0295,TRUE,1.27
"A0A9D4XAS2_PEA","A0A9D4XAS2",4.91417637985447e-06,0.000217,TRUE,2.62
"A0A9D4XAT3_PEA","A0A9D4XAT3",0.00134745233811759,0.0088,TRUE,0.981
"A0A9D4XAW7_PEA","A0A9D4XAW7",0.0010781215882363,0.00743,TRUE,-1.48
"A0A9D4XAZ1_PEA","A0A9D4XAZ1",0.000102182620912587,0.0014,TRUE,-1.95
"A0A9D4XB09_PEA","A0A9D4XB09",0.00871204302416372,0.038,TRUE,-1.01
"A0A9D4XB17_PEA","A0A9D4XB17",0.00395693452106501,0.0205,TRUE,1.02
"A0A9D4XBE4_PEA","A0A9D4XBE4",0.00145995533483876,0.00939,TRUE,2.16
"A0A9D4XBG2_PEA","A0A9D4XBG2",7.52296743730083e-05,0.00112,TRUE,1.39
"A0A9D4XBJ0_PEA","A0A9D4XBJ0",0.000198781139073562,0.0022,TRUE,1.95
"A0A9D4XBJ8_PEA","A0A9D4XBJ8",0.00223313462000013,0.013,TRUE,1.65
"A0A9D4XBN5_PEA","A0A9D4XBN5",1.51583902814451e-05,0.000421,TRUE,-1.8
"A0A9D4XBU1_PEA","A0A9D4XBU1",0.00357547971803266,0.0188,TRUE,-1.05
"A0A9D4XBZ8_PEA","A0A9D4XBZ8",6.59344204411249e-05,0.00104,TRUE,3.76
"A0A9D4XC55_PEA","A0A9D4XC55",2.7402694003838e-05,0.000602,TRUE,1.45
"A0A9D4XC76_PEA","A0A9D4XC76",0.00126437099742347,0.00835,TRUE,-1.46
"A0A9D4XCB9_PEA","A0A9D4XCB9",6.54400985632631e-05,0.00104,TRUE,-2.02
"A0A9D4XCM2_PEA","A0A9D4XCM2",4.46492359988222e-05,0.000824,TRUE,2.46
"A0A9D4XCQ5_PEA","A0A9D4XCQ5",0.00287160945117025,0.0158,TRUE,0.834
"A0A9D4XCU8_PEA","A0A9D4XCU8",0.00108975598739493,0.00747,TRUE,-1.34
"A0A9D4XCW5_PEA","A0A9D4XCW5",0.000320235503302302,0.00304,TRUE,-1.52
"A0A9D4XD04_PEA","A0A9D4XD04",0.00823899192280258,0.0362,TRUE,-1.26
